geoid,region_type,region_name,year,measure,value,measure_type
51720,county,"Norton city, Virginia",2015,vac_bus_adr,57,count
51730,county,"Petersburg city, Virginia",2015,vac_bus_adr,199,count
51735,county,"Poquoson city, Virginia",2015,vac_bus_adr,18,count
51740,county,"Portsmouth city, Virginia",2015,vac_bus_adr,268,count
51750,county,"Radford city, Virginia",2015,vac_bus_adr,87,count
51760,county,"Richmond city, Virginia",2015,vac_bus_adr,1333,count
51770,county,"Roanoke city, Virginia",2015,vac_bus_adr,700,count
51775,county,"Salem city, Virginia",2015,vac_bus_adr,218,count
51790,county,"Staunton city, Virginia",2015,vac_bus_adr,178,count
51800,county,"Suffolk city, Virginia",2015,vac_bus_adr,119,count
51810,county,"Virginia Beach city, Virginia",2015,vac_bus_adr,1304,count
51820,county,"Waynesboro city, Virginia",2015,vac_bus_adr,169,count
51830,county,"Williamsburg city, Virginia",2015,vac_bus_adr,55,count
51840,county,"Winchester city, Virginia",2015,vac_bus_adr,282,count
51001,county,"Accomack County, Virginia",2015,vac_oth_adr,0,count
51003,county,"Albemarle County, Virginia",2015,vac_oth_adr,0,count
51005,county,"Alleghany County, Virginia",2015,vac_oth_adr,0,count
51007,county,"Amelia County, Virginia",2015,vac_oth_adr,0,count
51009,county,"Amherst County, Virginia",2015,vac_oth_adr,0,count
51011,county,"Appomattox County, Virginia",2015,vac_oth_adr,0,count
51013,county,"Arlington County, Virginia",2015,vac_oth_adr,0,count
51015,county,"Augusta County, Virginia",2015,vac_oth_adr,0,count
51017,county,"Bath County, Virginia",2015,vac_oth_adr,0,count
51019,county,"Bedford County, Virginia",2015,vac_oth_adr,2,count
51021,county,"Bland County, Virginia",2015,vac_oth_adr,0,count
51023,county,"Botetourt County, Virginia",2015,vac_oth_adr,1,count
51025,county,"Brunswick County, Virginia",2015,vac_oth_adr,0,count
51027,county,"Buchanan County, Virginia",2015,vac_oth_adr,0,count
51029,county,"Buckingham County, Virginia",2015,vac_oth_adr,0,count
51031,county,"Campbell County, Virginia",2015,vac_oth_adr,0,count
51033,county,"Caroline County, Virginia",2015,vac_oth_adr,0,count
51035,county,"Carroll County, Virginia",2015,vac_oth_adr,0,count
51036,county,"Charles City County, Virginia",2015,vac_oth_adr,0,count
51037,county,"Charlotte County, Virginia",2015,vac_oth_adr,2,count
51041,county,"Chesterfield County, Virginia",2015,vac_oth_adr,0,count
51043,county,"Clarke County, Virginia",2015,vac_oth_adr,0,count
51045,county,"Craig County, Virginia",2015,vac_oth_adr,0,count
51047,county,"Culpeper County, Virginia",2015,vac_oth_adr,0,count
