"","X","Accees.to.Care","Education","Employment.Access","Labor.Force.Participation","Population.Density","Walkability","Spatial.Segregation","Income.Inequality","Affordability","Environmental","Food.Access","Townsend","Incarceration","Mobility","geoid"
"127",127,0.981,0.714,0.032,0.675,0.008,0.248,0.823,0.572,0.519,0.644,0.406,0.738,0.9195845512537,0.415,51149850200
"128",128,0.941,0.634,0.099,0.558,0.033,0.578,0.594,0.416,0.538,0.659,0.468,0.647,0.84464415578873,0.22,51650010504
"129",129,0.897,0.689,0.078,0.65,0.047,0.623,0.694,0.319,0.684,0.556,0.774,0.686,0.904356809562086,0.342,51630000400
"130",130,0.977,0.811,0.369,0.626,0.266,0.772,0.418,0.027,0.559,0.323,1,0.624,0.848353600018478,0.55,51760040400
"131",131,0.976,0.862,0.099,0.273,0.049,0.584,0.675,0.127,0.59,0.697,0.972,0.74,0.94334985483381,0.504,51003010901
"132",132,0.849,0,0.185,0.654,0.059,0.726,0.431,0.45,0.58,0.452,0.599,0.575,0.53695375393689,0.458,51760060200
"133",133,0.788,0.7,0.344,0.794,0.176,0.576,0.894,0.487,0.664,0.477,0.979,0.555,1.00580869464653,0.428,51510200104
"134",134,0.913,0.629,0.032,0.528,0.037,0.18,0.344,0.371,0.601,0.67,0.459,0.66,0.807646166844529,0.221,51730810500
"135",135,0.907,0.802,0.388,0.736,0.116,0.916,0.682,0.274,0.623,0.374,0.91,0.752,0.967592657791831,0.424,51760020501
"136",136,0.904,0.633,0.047,0.608,0.039,0.547,0.775,0.357,0.632,0.396,0.881,0.463,0.810757806163218,0.281,51670820300
"137",137,0.863,0.683,0.135,0.788,0.027,0.69,0.806,0.482,0.611,0.606,0.942,0.714,0.991657778448861,0.305,51041100107
"138",138,0.916,0.62,0.06,0.72,0.066,0.346,0.812,0.504,0.538,0.598,0.995,0.736,0.958866925784347,0.272,51041100806
"139",139,0.887,0.669,0.371,0.65,0.125,0.974,0.875,0.445,0.633,0.489,0.985,0.666,0.976374864186762,0.286,51059451502
"140",140,0.891,0.608,0.156,0.563,0.102,0.7,0.1,0.425,0.559,0.367,1,0.279,0.657877604782046,0.374,51740212000
"141",141,0.873,0.639,0.163,0.759,0.05,0.626,0.594,0.452,0.611,0.645,0.692,0.553,0.871281709764241,0.414,51700030900
"142",142,0.972,0.728,0.091,0.674,0.043,0.659,0.652,0.36,0.483,0.72,0.983,0.816,0.979309017696955,0.302,51700031902
"143",143,0.874,0.642,0.078,0.611,0.047,0.737,0.619,0.415,0.538,0.665,0.999,0.607,0.897547599455641,0.38,51660000302
"144",144,0.881,0.649,0.018,0.578,0.003,0.376,0.569,0.415,0.59,0.785,0.484,0.687,0.886472772801304,0.33,51137110200
"145",145,0.875,0.599,0.138,0.574,0.048,0.747,0.491,0.295,0.61,0.587,0.527,0.573,0.798188924492767,0.254,51770002501
"146",146,0.865,0.661,0.132,0.665,0.068,0.562,0.737,0.362,0.559,0.623,0.97,0.631,0.947645224025661,0.206,51087200153
"147",147,0.89,0.702,0.332,0.778,0.168,0.647,0.919,0.31,0.643,0.534,0.994,0.718,1.03707581081621,0.145,51059452700
"148",148,0.94,0.639,0.053,0.66,0.071,0.511,0.562,0.372,0.506,0.677,0.95,0.572,0.862230735891306,0.326,51800065302
"149",149,0.867,0.676,0.07,0.659,0.069,0.729,0.5,0.378,0.548,0.678,0.976,0.636,0.923651540348739,0.177,51650010900
"150",150,0.945,0.804,0.603,0.816,0.332,0.719,0.731,0.449,0.685,0.383,0.998,0.743,1.05607195623009,0.323,51013102002
"151",151,0.857,0.622,0.151,0.809,0.021,0.68,0.869,0.404,0.58,0.666,0.957,0.702,0.963632007936642,0.538,51700032128
"152",152,0.969,0.86,0.568,0.792,0.045,0.727,0.669,0.463,0.601,0.587,1,0.752,1.03538157319453,0.521,51059480204
"153",153,0.834,0.649,0.211,0.719,0.089,0.701,0.775,0.39,0.633,0.528,1,0.561,0.924802543799118,0.395,51087200417
"154",154,0.972,0.848,0.581,0.769,0.705,0.859,0.621,0.494,0.602,0.383,0.998,0.693,1.07653396136682,0.493,51013101409
"155",155,0.936,0.76,0.272,0.847,0.172,0.675,0.827,0.474,0.642,0.48,0.995,0.776,1.03340084308669,0.365,51059420503
"156",156,0.959,0.689,0.105,0.436,0.076,0.606,0.545,0.338,0.488,0.746,0.985,0.636,0.870429590214464,0.551,51700031701
"157",157,0.927,0.789,0.373,0.61,0.208,0.713,0.813,0.436,0.633,0.496,0.979,0.632,1.00398493629126,0.309,51059452801
"158",158,0.914,0.654,0.16,0.668,0.051,0.757,0.65,0.367,0.548,0.457,0.456,0.686,0.853968193229414,0.2,51550020300
"159",159,0.93,0.722,0.552,0.681,0.272,0.816,0.755,0.233,0.695,0.5,0.997,0.642,0.987633707000531,0.252,51013102003
"160",160,0.785,0.599,0.008,0.531,0.001,0.166,0.719,0.33,0.369,0.846,0.29,0.716,0.930139914207797,0.119,51001090402
