"","Accees to Care","Education","Employment Access","Labor Force Participation","Population Density","Walkability","Spatial Segregation","Income Inequality","Affordability","Environmental","Food Access","Townsend","Mobility","geoid","Incarceration"
"1832",0.97,0.784,0.06,0.782,0.044,0.434,0.354,0.519,0.354,0.649,0.975,0.944,0.908,"51085320804",0.943144893767078
"1833",0.948,0.776,0.279,0.72,0.062,0.565,0.823,0.54,0.495,0.537,0.863,0.92,0.91,"51059450701",1.00523546758832
"1834",0.905,0.821,0.398,0.876,0.235,0.718,0.671,0.573,0.599,0.41,1,0.798,0.681,"51013102903",1.03933199231656
"1835",0.981,0.836,0.169,0.679,0.069,0.555,0.639,0.525,0.442,0.626,0.984,0.922,0.957,"51059440701",0.999483740237026
"1836",0.888,0.673,0.121,0.689,0.07,0.569,0.544,0.445,0.467,0.564,0.982,0.871,0.906,"51550020600",0.915196189220099
"1837",0.988,0.812,0.16,0.735,0.048,0.614,0.76,0.565,0.49,0.615,0.925,0.857,0.839,"51059421103",0.997394445773696
"1838",0.976,0.761,0.034,0.748,0.046,0.279,0.639,0.673,0.309,0.77,0.935,0.942,0.911,"51800075203",1.00872891343717
"1839",0.789,0.636,0.007,0.524,0,0.124,0.513,0.43,0.231,0.785,0.28,0.893,0.852,"51037930200",0.889212224200058
"1840",0.974,0.819,0.111,0.695,0.065,0.632,0.751,0.457,0.49,0.605,0.967,0.809,0.864,"51059432701",0.975527012525497
"1841",0.948,0.745,0.019,0.616,0.009,0.254,0.437,0.567,0.43,0.797,0.813,0.901,0.898,"51137110107",0.937191078378066
"1842",0.982,0.831,0.095,0.746,0.036,0.268,0.703,0.504,0.327,0.645,0.962,0.916,0.852,"51107611012",1.01012936384789
"1843",0.936,0.687,0.011,0.559,0.001,0.265,0.226,0.5,0.385,0.843,0.526,0.895,0.888,"51063920104",0.853711093882537
"1844",0.908,0.663,0.01,0.723,0.001,0.078,0.531,0.46,0.452,0.8,0.6,0.889,0.834,"51075400500",0.916672912735592
"1845",0.932,0.724,0.111,0.654,0.002,0.435,0.442,0.457,0.485,0.749,0.855,0.809,0.901,"51153901305",0.902333476915923
"1846",0.991,0.804,0.018,0.728,0.003,0.216,0.437,0.52,0.236,0.749,0.917,0.961,0.788,"51041101003",0.973647762195559
"1847",0.917,0.684,0.015,0.602,0.005,0.188,0.386,0.395,0.405,0.766,0.656,0.909,0.879,"51073100500",0.881182604632752
"1848",0.96,0.776,0.081,0.653,0.054,0.638,0.487,0.362,0.442,0.669,0.789,0.921,0.892,"51650011500",0.927386662402563
"1849",0.984,0.792,0.05,0.669,0.015,0.36,0.759,0.408,0.281,0.715,0.98,0.919,0.857,"51800075105",0.994836923169903
"1850",0.922,0.676,0.02,0.567,0.002,0.274,0.456,0.383,0.236,0.742,0.495,0.871,0.907,"51089010300",0.850584468726082
"1851",0.919,0.703,0.018,0.643,0.007,0.198,0.487,0.456,0.304,0.709,0.699,0.827,0.851,"51143011302",0.88587195532093
"1852",0.983,0.814,0.105,0.706,0.071,0.32,0.698,0.507,0.441,0.637,0.992,0.898,0.838,"51107611209",1.0036781707547
"1853",0.976,0.784,0.059,0.739,0.027,0.319,0.684,0.591,0.389,0.733,0.976,0.921,0.912,"51153901411",1.00756002251811
"1854",0.946,0.742,0.035,0.708,0.027,0.2,0.721,0.553,0.391,0.683,0.703,0.916,0.891,"51041100507",0.967832308950155
"1855",0.922,0.725,0.011,0.458,0.003,0.265,0.386,0.335,0.402,0.811,0.574,0.86,0.879,"51103030301",0.866844468890295
"1856",0.988,0.836,0.127,0.722,0.069,0.545,0.804,0.659,0.45,0.64,0.952,0.923,0.931,"51059432600",1.0398737418372
"1857",0.889,0.686,0.014,0.6,0.001,0.156,0.487,0.317,0.38,0.803,0.542,0.848,0.837,"51109950101",0.885307489234353
"1858",0.935,0.707,0.015,0.621,0.008,0.413,0.386,0.47,0.419,0.751,0.812,0.877,0.923,"51101950300",0.88941401734721
"1859",0.964,0.725,0.047,0.597,0.022,0.253,0.392,0.482,0.439,0.61,0.891,0.877,0.868,"51570830100",0.87693898578027
"1860",0.979,0.767,0.052,0.695,0.065,0.389,0.804,0.601,0.557,0.663,0.956,0.917,0.797,"51179010212",1.01739614494355
"1861",0.976,0.814,0.08,0.704,0.062,0.278,0.658,0.434,0.385,0.642,0.964,0.859,0.918,"51107610507",0.970210399127882
"1862",0.984,0.817,0.052,0.556,0.025,0.613,0.405,0.417,0.093,0.704,0.96,0.961,0.931,"51810043002",0.936098468420936
"1863",0.874,0.648,0.009,0.598,0,0.17,0.525,0.382,0.301,0.808,0.326,0.796,0.967,"51049930102",0.84343241533562
"1864",0.966,0.751,0.071,0.722,0.049,0.444,0.5,0.555,0.349,0.737,0.877,0.895,0.84,"51810045431",0.956844000512193
"1865",0.996,0.813,0.178,0.745,0.083,0.483,0.633,0.622,0.475,0.611,0.952,0.917,0.916,"51059480502",0.998897620302049
"1866",0.891,0.648,0.007,0.511,0.001,0.099,0.108,0.449,0.349,0.763,0.283,0.897,0.917,"51169030400",0.787301454518887
"1867",0.947,0.777,0.011,0.566,0.001,0.245,0.266,0.322,0.459,0.834,0.676,0.919,0.89,"51125950201",0.896365200101233
"1868",0.972,0.815,0.082,0.707,0.071,0.282,0.715,0.59,0.408,0.689,0.964,0.894,0.862,"51199050203",1.0209903469227
"1869",0.975,0.798,0.063,0.613,0.01,0.271,0.544,0.606,0.425,0.692,0.96,0.931,0.823,"51153901219",0.98032988412027
"1870",0.946,0.683,0.014,0.598,0.001,0.264,0.424,0.451,0.475,0.792,0.602,0.825,0.831,"51137110302",0.864201424330534
"1871",0.977,0.85,0.122,0.662,0.012,0.251,0.532,0.516,0.357,0.649,0.95,0.932,0.895,"51059492000",0.984368446778455
"1872",0.979,0.747,0.03,0.634,0.007,0.347,0.291,0.361,0.579,0.732,0.943,0.9,0.876,"51061930303",0.887641587916383
