"","CT2","FIPS","Geographic Area Name","Tpop","Accees to Care","Education","Employment Access","Labor Force Participation","Population Density","Walkability","Spatial Segregation","Income Inequality","Affordability","Environmental","Food Access","Townsend","Incarceration","Mobility","County","LifeExpectancy"
"101","51730811200",0.869,"Census Tract 8112, Petersburg city, Virginia",0.256,0.938,0.425,0.031,0.65,0.008,0.411,0.518,0.556,0.658,0.75,0.754,0.512,0.836,0.795,"Petersburg city",0.422
"102","51670820100",0.797,"Census Tract 8201, Hopewell city, Virginia",0.094,0.942,0.434,0.035,0.544,0.027,0.211,0.902,0.537,0.697,0.521,0.772,0.512,0.833,0.81,"Hopewell city",0.26
"103","51013103504",0.014,"Census Tract 1035.04, Arlington County, Virginia",0.179,0.96,0.745,0.656,0.916,0.885,0.089,0.917,0.752,0.684,0.428,1,0.513,1,0.615,"Arlington County",0.622
"104","51510200109",0.607,"Census Tract 2001.09, Alexandria city, Virginia",0.348,0.874,0.491,0.293,0.773,0.213,0.542,0.683,0.674,0.724,0.565,0.928,0.514,0.962,0.886,"Alexandria city",0.598
"105","51059480205",0.069,"Census Tract 4802.05, Fairfax County, Virginia",0.158,0.981,0.764,0.573,0.851,0.036,0.379,0.793,0.761,0.671,0.614,0.979,0.514,1,0.498,"Fairfax County",0.635
"106","51013102200",0.014,"Census Tract 1022, Arlington County, Virginia",0.509,0.855,0.387,0.383,0.719,0.261,0.816,0.689,0.587,0.789,0.617,0.984,0.514,0.946,0.903,"Arlington County",0.524
"107","51540000202",0.642,"Census Tract 2.02, Charlottesville city, Virginia",0.356,0.965,0.547,0.176,0.431,0.152,0.868,0.931,0.433,0.697,0.796,0.632,0.515,0.922,0.447,NA,0.599
"108","51540000401",0.642,"Census Tract 4.01, Charlottesville city, Virginia",0.27,0.903,0.509,0.145,0.714,0.055,0.658,0.878,0.453,0.684,0.764,0.782,0.515,0.787,0.85,"Charlottesville city",0.412
"109","51680000205",0.809,"Census Tract 2.05, Lynchburg city, Virginia",0.208,0.924,0.453,0.072,0.541,0.012,0.616,0.913,0.686,0.553,0.803,0.993,0.515,0.799,0.811,"Lynchburg city",0.443
"110","51710005800",0.845,"Census Tract 58, Norfolk city, Virginia",0.29,0.921,0.434,0.093,0.694,0.068,0.753,0.488,0.664,0.684,0.731,0.741,0.516,0.732,0.801,"Norfolk city",0.517
"111","51199050207",0.236,"Census Tract 502.07, York County, Virginia",0.293,0.943,0.519,0.055,0.661,0.066,0.316,0.901,0.843,0.526,0.818,0.998,0.517,0.991,0.783,"York County",0.554
"112","51760020700",0.905,"Census Tract 207, Richmond city, Virginia",0.087,0.947,0.453,0.252,0.583,0.06,0.368,0.736,0.286,0.737,0.626,0.883,0.518,0.668,0.688,"Richmond city",0.179
"113","51710001600",0.845,"Census Tract 16, Norfolk city, Virginia",0.119,0.918,0.387,0.078,0.525,0.09,0.589,0.822,0.645,0.737,0.682,0.731,0.519,0.794,0.801,"Norfolk city",0.426
"114","51700032126",0.833,"Census Tract 321.26, Newport News city, Virginia",0.259,0.871,0.406,0.116,0.579,0.043,0.668,0.816,0.596,0.684,0.736,0.979,0.519,0.873,0.83,"Newport News city",0.541
"115","51740211100",0.881,"Census Tract 2111, Portsmouth city, Virginia",0.103,0.966,0.387,0.151,0.566,0.024,0.579,0.686,0.629,0.763,0.575,0.9,0.52,0.611,0.807,NA,0.385
"116","51550020910",0.654,"Census Tract 209.10, Chesapeake city, Virginia",0.075,0.968,0.302,0.064,0.488,0.01,0.279,0.814,0.479,0.776,0.72,0.971,0.524,0.692,0.887,"Chesapeake city",0.625
